Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
WPP Ventures,https://www.crunchbase.com/organization/wpp-ventures,65,29,"London, England, United Kingdom",,https://www.wpp.com/
bm-t beteiligungsmanagement thuringen,https://www.crunchbase.com/organization/bm-t-beteiligungsmanagement-thüringen,65,7,"Erfurt, Thuringen, Germany",info@bm-t.com,https://www.bm-t.com/
European Data Incubator,https://www.crunchbase.com/organization/european-data-incubator,65,5,"Bilbao, Pais Vasco, Spain",info@edincubator.eu,https://edincubator.eu
UK Department for Transport,https://www.crunchbase.com/organization/uk-department-for-transport,65,3,"London, England, United Kingdom",,https://www.gov.uk/government/organisations/department-for-transport
Expon Capital,https://www.crunchbase.com/organization/expon-capital,64,6,"Luxembourg, Luxembourg, Luxembourg",info@exponcapital.com,http://www.exponcapital.com/
GapMinder VC,https://www.crunchbase.com/organization/gapminder-vc,64,1,"Bucharest, Bucuresti, Romania",contact@gapminder.vc,http://gapminder.vc/
NVM Private Equity,https://www.crunchbase.com/organization/nvm-private-equity,64,23,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",newcastle@nvm.co.uk,http://www.nvm.co.uk
Bridges Fund Management,https://www.crunchbase.com/organization/bridges-ventures,64,14,"London, England, United Kingdom",info@bridgesfundmanagement.com,http://www.bridgesfundmanagement.com/
Prime Ventures,https://www.crunchbase.com/organization/prime-technology-ventures,64,20,"Amsterdam, Noord-Holland, The Netherlands",info@primeventures.com,http://www.primeventures.com
Climate Investment,https://www.crunchbase.com/organization/ogci-climate-investments,64,1,"London, England, United Kingdom",,https://www.climateinvestment.com/
LIFTT,https://www.crunchbase.com/organization/liftt,64,2,"Turin, Piemonte, Italy",info@liftt.com,https://www.liftt.com
REV,https://www.crunchbase.com/organization/reed-elsevier,64,27,"London, England, United Kingdom",,http://rev.vc
NextStage,https://www.crunchbase.com/organization/aurel-nextstage,64,21,"Paris, Ile-de-France, France",info-investor@nextstage.com,http://www.nextstage.com
Magnus Capital,https://www.crunchbase.com/organization/magnus-capital,64,,"Amsterdam, Noord-Holland, The Netherlands",,https://magnuscapital.com/
Partnerinvest Norr,https://www.crunchbase.com/organization/partnerinvest-norr,64,9,"Piteå, Norrbottens Lan, Sweden",lena@partnerinvestnorr.se,http://www.partnerinvestnorr.se
Partners Group,https://www.crunchbase.com/organization/partners-group,63,26,"Baar, Zug, Switzerland",partnersgroup@partnersgroup.com,http://www.partnersgroup.com
Ananda Impact Ventures,https://www.crunchbase.com/organization/ananda-ventures-gmbh-social-venture-fund,63,4,"Munich, Bayern, Germany",info@ananda.vc,https://ananda.vc/
Gorilla Capital,https://www.crunchbase.com/organization/gorilla-capital-2017-fund-ky,63,5,"Helsinki, Southern Finland, Finland",petri@gorillacapital.fi,https://www.gorillacapital.fi/
EASO Ventures,https://www.crunchbase.com/organization/easo-ventures,63,,"San Sebastian, Pais Vasco, Spain",easo@easoventures.com,http://www.easoventures.com
Porsche Ventures,https://www.crunchbase.com/organization/porsche-ventures,63,6,"Stuttgart, Baden-Wurttemberg, Germany",,https://www.porsche.ventures
DvH Ventures,https://www.crunchbase.com/organization/dvh-ventures,63,6,"Köln, Nordrhein-Westfalen, Germany",deals@dvhventures.de,http://dvhventures.de/
Marshall Wace,https://www.crunchbase.com/organization/marshall-wace,63,21,"London, England, United Kingdom",mwam@mwam.com,https://www.mwam.com
Oliver Jung,https://www.crunchbase.com/person/oliver-jung,63,20,"London, England, United Kingdom",,
Lundbeckfonden Ventures,https://www.crunchbase.com/organization/lundbeckfond-ventures,63,21,"Copenhagen, Hovedstaden, Denmark",ventures@lundbeckfonden.com,https://lundbeckfonden.com
Holland Capital,https://www.crunchbase.com/organization/holland-venture,63,20,"Amsterdam, Noord-Holland, The Netherlands",info@hollandventure.com,https://hollandcapital.nl
Galata Business Angels,https://www.crunchbase.com/organization/galata-business-angels,63,6,"Istanbul, Istanbul, Turkey",info@galatabusinessangels.com,http://www.galatabusinessangels.com
iStarter,https://www.crunchbase.com/organization/istarter,63,10,"London, England, United Kingdom",team@istarter.it,http://www.istarter.it
Burda Principal Investments,https://www.crunchbase.com/organization/burda-principal-investments,63,6,"Munich, Bayern, Germany",investments@burda.com,http://www.burdaprincipalinvestments.com/
Astanor Ventures,https://www.crunchbase.com/organization/astanor-ventures,62,5,"Luxembourg, Luxembourg, Belgium",,https://www.astanor.com
RePie Asset Management,https://www.crunchbase.com/organization/re-pie-asset-management,62,5,"Istanbul, Istanbul, Turkey",info@re-pie.com,http://www.re-pie.com/
Senovo,https://www.crunchbase.com/organization/senovo,62,9,"München, Bayern, Germany",info@senovo.vc,https://www.senovo.vc/
Creator Fund,https://www.crunchbase.com/organization/creator-fund,62,2,"London, England, United Kingdom",hello@thecreatorfund.com,https://www.thecreatorfund.com/
SevenVentures,https://www.crunchbase.com/organization/sevenventures,62,15,"Unterföhring, Bayern, Germany",info@sevenventures.de,http://sevenventures.de
The Austrian Research Promotion Agency (FFG),https://www.crunchbase.com/organization/theaustrian-researchpromotion-agency-ffg,62,2,"Vienna, Wien, Austria",office@ffg.at,https://www.ffg.at
Woodford Investment Management,https://www.crunchbase.com/organization/woodford-investment-management,62,17,"Oxford, Oxfordshire, United Kingdom",info@woodfordfunds.com,https://woodfordfunds.com/
Hotspur Capital,https://www.crunchbase.com/organization/hotspur-capital,62,5,"London, England, United Kingdom",,
Pitchdrive,https://www.crunchbase.com/organization/pitchdrive,61,4,"Antwerp, Antwerpen, Belgium",info@pitchdrive.com,https://www.pitchdrive.com
NatWest Group,https://www.crunchbase.com/organization/royal-bank-of-scotland,61,20,"Edinburgh, Edinburgh, City of, United Kingdom",in.service@rbs.com,https://natwestgroup.com
BioGeneration Ventures,https://www.crunchbase.com/organization/biogeneration-ventures,61,9,"Naarden, Noord-Holland, The Netherlands",info@biogeneration.vc,http://www.biogenerationventures.com
BeAble Capital,https://www.crunchbase.com/organization/b-able,61,,"Madrid, Madrid, Spain",info@beablecapital.com,http://www.beablecapital.com
Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,61,8,"Tallinn, Harjumaa, Estonia",tera@tera.vc,https://tera.vc/
ZAKA VC,https://www.crunchbase.com/organization/zaka-startups,61,,"Prague, Hlavni mesto Praha, Czech Republic",hey@zaka.vc,https://zaka.vc/
IXO Private Equity,https://www.crunchbase.com/organization/ixo-private-equity,61,11,"Toulouse, Midi-Pyrenees, France",contact@ixope.fr,http://www.ixope.fr
TRICAPITAL,https://www.crunchbase.com/organization/tweed-renaissance-investors-capital,61,4,"Melrose, Scottish Borders, The, United Kingdom",marketing@tricapital.co.uk,http://www.tricapital.co.uk
Oxford University Innovation,https://www.crunchbase.com/organization/oxford-university-innovation,61,5,"Oxford, Oxfordshire, United Kingdom",enquiries@innovation.ox.ac.uk,https://innovation.ox.ac.uk/
Forward Venture Capital,https://www.crunchbase.com/organization/forward-venture-capital,61,1,"Den Haag, Zuid-Holland, The Netherlands",info@forwardvc.com,http://forwardvc.com/
Mastercard Start Path,https://www.crunchbase.com/organization/mastercard-start-path,61,9,"Dublin, Dublin, Ireland",info@startpath.com,https://startpath.mastercard.com
Avalon Wealth Club,https://www.crunchbase.com/organization/avalon-wealth-club,61,,"Helmshore, Lancashire, United Kingdom",,https://avalonwealthclub.com/
Ada Ventures,https://www.crunchbase.com/organization/ada-vemtires,60,,"London, England, United Kingdom",,https://www.adaventures.com/
CommerzVentures,https://www.crunchbase.com/organization/commerzventures-gmbh,60,6,"Frankfurt, Hessen, Germany",info@commerzventures.com,http://www.commerzventures.com
responsAbility Investments,https://www.crunchbase.com/organization/responsability-2,60,6,"Zürich, Zurich, Switzerland",info@responsAbility.com,http://www.responsability.com
3TS Capital Partners,https://www.crunchbase.com/organization/3ts-capital-partners,60,18,"Helsinki, Southern Finland, Finland",info@3tscapital.com,http://www.3tscapital.com
Wellstreet,https://www.crunchbase.com/organization/wellstreet,60,7,"Stockholm, Stockholms Lan, Sweden",info@wellstreet.vc,http://www.wellstreet.se
HBAN,https://www.crunchbase.com/organization/halo-business-angel-network,60,5,"Dublin, Dublin, Ireland",info@hban.org,http://www.hban.org
Andreas Mihalovits,https://www.crunchbase.com/person/andreas-mihalovits,60,3,"Marbella, Andalucia, Spain",,http://www.globalsuperangels.club
Rancilio Cube Sicaf,https://www.crunchbase.com/organization/ranciliocube,60,18,"Milano, Lombardia, Italy",info@ranciliocube.com,http://www.ranciliocubesicaf.com/
Impulse VC,https://www.crunchbase.com/organization/impulsevc,60,10,"Moscow, Moscow City, Russian Federation",start@impulsevc.com,http://impulsevc.com
Baring Vostok Capital Partners,https://www.crunchbase.com/organization/baring-vostok-capital-partners,60,12,"Moscow, Moscow City, Russian Federation",info@bvcp.ru,http://www.baring-vostok.com/
EV Private Equity,https://www.crunchbase.com/organization/energy-ventures,60,22,"Stavanger, Rogaland, Norway",ap@evpe.com,https://www.evprivateequity.no/
Industri Udvikling A/S,https://www.crunchbase.com/organization/industri-udvikling-a-s,60,15,"Copenhagen, Hovedstaden, Denmark",iu@industriudvikling.dk,http://www.industriudvikling.dk
Jose Marin,https://www.crunchbase.com/person/jose-marin-2,60,23,"Madrid, Madrid, Spain",,
Fortino Capital,https://www.crunchbase.com/organization/fortinocapital,59,16,"Antwerp, Antwerpen, Belgium",antwerp@fortinocapital.com,https://fortinocapital.com/
The Twenty Minute VC,https://www.crunchbase.com/organization/the-twenty-minute-vc,59,6,"London, England, United Kingdom",amy@x.ai,http://www.thetwentyminutevc.com
Angular Ventures,https://www.crunchbase.com/organization/angular-ventures,59,4,"London, England, United Kingdom",info@angularventures.com,http://www.angularventures.com
henQ,https://www.crunchbase.com/organization/henq-invest,59,11,"Amsterdam, Noord-Holland, The Netherlands",applications@henq.vc,https://henq.vc/
M&G Investments,https://www.crunchbase.com/organization/m-g-investments-2f25,59,11,"London, England, United Kingdom",info@mandg.co.uk,https://www.mandg.com/investments/hub?utm_source=vanity&utm_medium=301&utm_campaign=https://www.mandg.com/investments#
Thuja Capital,https://www.crunchbase.com/organization/thuja-capital,59,16,"Utrecht, Utrecht, The Netherlands",mb@thujacapital.com,http://thujacapital.com
Vertis,https://www.crunchbase.com/organization/vertis-sgr-s-p-a,59,7,"Milan, Lombardia, Italy",vertis@vertis.it,https://www.vertis.it/
Albion Capital Group,https://www.crunchbase.com/organization/albion-ventures,59,12,"London, England, United Kingdom",info@albion.capital,https://www.albion.capital/
TIIN Capital,https://www.crunchbase.com/organization/tiin-capital,59,18,"Naarden, Noord-Holland, The Netherlands",dekoste@tiincapital.nl,http://tiincapital.nl
ABN AMRO Fund,https://www.crunchbase.com/organization/abn-amro,59,23,"Amsterdam, Noord-Holland, The Netherlands",digital.impact.fund@nl.abanmro.com,http://www.abnamro.nl
Sunstone Life Science Ventures,https://www.crunchbase.com/organization/sunstone-capital-life-science,59,14,"Copenhagen, Hovedstaden, Denmark",,https://sunstone.eu/
Verlinvest,https://www.crunchbase.com/organization/verlinvest,59,11,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info-bru@verlinvest.com,http://www.verlinvest.com
Oskar Hartmann,https://www.crunchbase.com/person/oskar-hartmann,59,11,"Luxembourg, Luxembourg, Luxembourg",,https://oskarhartmann.com
Christian Edler,https://www.crunchbase.com/person/christian-edler,59,11,"Berlin, Berlin, Germany",,http://www.christianedler.com
EDFI ElectriFI,https://www.crunchbase.com/organization/electrification-financing-initiative,59,1,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",electrifi@edfimc.eu,http://electrifi.eu
Federal Ministry for Economic Affairs and Energy (BMWi),https://www.crunchbase.com/organization/federal-ministry-for-economic-affairs-and-energy,59,7,"Berlin, Berlin, Germany",,http://www.bmwi.de/EN/root.html
Charlotte Street Capital,https://www.crunchbase.com/organization/charlotte-street-capital,59,10,"London, England, United Kingdom",tom@charlottestreetcapital.com,http://www.charlottestreetcapital.com
METRO Xcel,https://www.crunchbase.com/organization/techstars-metro,59,5,"Berlin, Berlin, Germany",info@metroaccelerator.com,http://www.metroaccelerator.com
Startup Wise Guys SaaS Milan,https://www.crunchbase.com/organization/startup-wise-guys-saas,59,2,"Milan, Lombardia, Italy",,https://startupwiseguys.com/saas-milan/
Innovation Capital,https://www.crunchbase.com/organization/cdc-innovation,59,23,"Paris, Ile-de-France, France",businessplan@innovationcapital.fr,http://www.innovationcapital.fr/
Sweet Capital,https://www.crunchbase.com/organization/sweet-capital-ltd,59,8,"Stockholm, Stockholms Lan, Sweden",founders@sweetcapital.com,http://www.sweetcapital.com
Change Ventures,https://www.crunchbase.com/organization/change-ventures,58,3,"Tallinn, Harjumaa, Estonia",info@changeventures.com,http://www.changeventures.com
Hg,https://www.crunchbase.com/organization/hgcapital,58,29,"London, England, United Kingdom",info@hgcapital.com,http://www.hgcapital.com
BlackFin Capital Partners,https://www.crunchbase.com/organization/blackfin-capital-partners,58,9,"Paris, Ile-de-France, France",contact@blackfin.com,https://www.blackfin.com/
Avonmore Developments,https://www.crunchbase.com/organization/avonmore-developments,58,10,"London, England, United Kingdom",contact@avonmoredevelopments.com,http://www.avonmoredevelopments.com
Virgin Group,https://www.crunchbase.com/organization/virgin-group,58,17,"London, England, United Kingdom",contactus@virgin.com,https://www.virgin.com/virgingroup
Business Angels,https://www.crunchbase.com/organization/business-angels-3,58,7,"Helsinki, Southern Finland, Finland",,
BY Venture Partners,https://www.crunchbase.com/organization/by-venture-partners,57,7,"St. Helier, NA - Jersey, Jersey",info@byvp.com,https://byvp.com/
Indico Capital Partners,https://www.crunchbase.com/organization/indico-capital-partners,57,1,"Lisbon, Lisboa, Portugal",investors@indicocapital.com,https://www.indicocapital.com/
XTX Ventures,https://www.crunchbase.com/organization/xtx-ventures,57,3,"London, England, United Kingdom",ventures@xtxmarkets.com,https://www.xtxmarkets.com/ventures/
SET Ventures,https://www.crunchbase.com/organization/set-ventures,57,9,"Amsterdam, Noord-Holland, The Netherlands",info@setventures.com,http://www.setventures.com/
Spintop Ventures,https://www.crunchbase.com/organization/spintop-ventures,57,10,"Östersund, Jamtlands Lan, Sweden",finn.persson@spintopventures.com,http://spintopventures.com
212,https://www.crunchbase.com/organization/212-capital-partners,57,3,"Istanbul, Istanbul, Turkey",info@212.vc,http://www.212.vc
TLcom Capital Partners,https://www.crunchbase.com/organization/tlcom-capital-partners,57,9,"London, England, United Kingdom",info@tlcomcapital.com,http://www.tlcomcapital.com
Truffle Capital,https://www.crunchbase.com/organization/truffle-capital,57,19,"Paris, Ile-de-France, France",contact@truffle.com,http://www.truffle.com
Market One Capital,https://www.crunchbase.com/organization/market-one-capital,57,6,"Luxembourg, Luxembourg, Luxembourg",office@moc.vc,http://www.moc.vc
Flixfounders,https://www.crunchbase.com/organization/flixfounders,57,,"Munich, Bayern, Germany",,
German Federal Ministry of Education and Research,https://www.crunchbase.com/organization/german-federal-ministry-of-education-and-research-bmbf,57,11,"Bonn, Nordrhein-Westfalen, Germany",information@bmbf.bund.de,https://www.bmbf.de
Will Martin,https://www.crunchbase.com/person/will-martin-2,57,7,"London, England, United Kingdom",,http://portfolio.ventures/
Via ID,https://www.crunchbase.com/organization/via-id-com,57,6,"Marquette Lez Lille, Nord-Pas-de-Calais, France",hello@via-id.com,http://www.via-id.com/
A Plus Finance,https://www.crunchbase.com/organization/a-plus-finance,57,14,"Paris, Ile-de-France, France",contact@aplusfinance.com,http://www.aplusfinance.com
tecnet equity,https://www.crunchbase.com/organization/tecnet-equity,57,8,"Sankt Polten, Niederosterreich, Austria",office@tecnet.at,https://www.tecnet.at/
Generis Capital Partners,https://www.crunchbase.com/organization/generis-capital-partners,57,18,"Paris, Ile-de-France, France",generis@generiscapital.com,http://www.generiscapital.com/index.html
Pembroke VCT,https://www.crunchbase.com/organization/pembroke-vct,57,4,"London, England, United Kingdom",info@pembrokevct.com,http://www.pembrokevct.com/
Serge Chiaramonte,https://www.crunchbase.com/person/serge-chiaramonte,57,6,"London, England, United Kingdom",,
Samos Investments,https://www.crunchbase.com/organization/samos-investments,57,8,"London, England, United Kingdom",contact@samos.vc,http://www.samos.vc
Luminar Ventures,https://www.crunchbase.com/organization/luminar-ventures,56,2,"Stockholm, Stockholms Lan, Sweden",info@luminarventures.com,https://www.luminarventures.com/
Mérieux Equity Partners,https://www.crunchbase.com/organization/mérieux-equity-partners,56,16,"Lyon, Rhone-Alpes, France",info@merieux-partners.com,https://www.merieux-partners.com/
Vesalius Biocapital Partners,https://www.crunchbase.com/organization/vesalius-biocapital-partners,56,9,"Strassen, Luxembourg, Luxembourg",info@vesaliusbiocapital.com,http://www.vesaliusbiocapital.com
Sisu Game Ventures,https://www.crunchbase.com/organization/sisu-game-ventures,56,5,"Helsinki, Southern Finland, Finland",,https://sisu.vc/
Mobeus Equity Partners,https://www.crunchbase.com/organization/mobeus-equity-partners,56,14,"London, England, United Kingdom",info@mobeus.co.uk,https://www.mobeus.co.uk
MAIF Avenir,https://www.crunchbase.com/organization/maif-avenir,56,13,"Paris, Ile-de-France, France",contact@maif-avenir.com,https://www.maif-avenir.fr/
Bcombinator Venture Partners,https://www.crunchbase.com/organization/bcombinator,56,,"Barcelona, Catalonia, Spain",info@bcombinator.com,https://www.bcombinator.com/
CapMan,https://www.crunchbase.com/organization/capman-oyj,56,19,"Helsinki, Southern Finland, Finland",info@capman.com,http://www.capman.com
TT Ventures,https://www.crunchbase.com/organization/tt-ventures,56,,"Istanbul, Istanbul, Turkey",ttventures@turktelekom.com,https://ttventures.com.tr/
Ferd,https://www.crunchbase.com/organization/ferd-venture,56,26,"Lysaker, Akershus, Norway",oppsigelse@ferd.no,http://www.ferd.no
CPT Capital,https://www.crunchbase.com/organization/cpt-capital,56,2,"London, England, United Kingdom",,https://cptcap.com/
LU Innovation,https://www.crunchbase.com/organization/lu-innovation,56,5,"Lund, Skane Lan, Sweden",info@innovation.lu.se,http://www.luinnovation.lu.se/en
BetaDen,https://www.crunchbase.com/organization/betaden,56,,"Malvern, Worcestershire, United Kingdom",,https://www.beta-den.com
Fast Track Malmo,https://www.crunchbase.com/organization/fast-track-malmo,56,4,"Malmö, Skane Lan, Sweden",nino@fasttrackmalmo.com,http://www.fasttrackmalmo.com/
Cur8 Capital,https://www.crunchbase.com/organization/ifg-vc,56,4,"London, England, United Kingdom",team@cur8.capital,https://cur8.capital
Nordic Capital,https://www.crunchbase.com/organization/nordic-capital,55,30,"Copenhagen, Hovedstaden, Denmark",security@nordiccapital.com,http://www.nordiccapital.com
IKIGAI,https://www.crunchbase.com/organization/ikigai-8cc9,55,,"Siena, Toscana, Italy",info@ikigaihub.it,https://www.ikigaihub.it
Kresge Foundation,https://www.crunchbase.com/organization/kresge-foundation,55,4,"Much, Nordrhein-Westfalen, Germany",stayconnected@kresge.org,http://kresge.org
South Central Ventures,https://www.crunchbase.com/organization/sc-ventures,55,6,"Belgrade, Vojvodina, Serbia",info@sc-ventures.com,http://sc-ventures.com/
InMotion Ventures,https://www.crunchbase.com/organization/inmotion-ventures,55,9,"London, England, United Kingdom",inmotion@jaguarlandrover.com,https://www.inmotionventures.com
Christian Reber,https://www.crunchbase.com/person/christian-reber,55,8,"Berlin, Berlin, Germany",,https://christianreber.com/
Neosfer,https://www.crunchbase.com/organization/neosfer,55,7,"Frankfurt, Hessen, Germany",info@neosfer.com,https://www.neosfer.com
Novator,https://www.crunchbase.com/organization/novator,55,11,"London, England, United Kingdom",info@novator.co.uk,http://www.novator.co.uk
Jets Capital,https://www.crunchbase.com/organization/jets-capital,55,,"London, England, United Kingdom",info@jetscapital.com,https://jets.capital/
Boost Heroes,https://www.crunchbase.com/organization/sharkbites,55,13,"Milan, Lombardia, Italy",loris@sharkbites.co,https://boostheroes.com/
Galia Gestion,https://www.crunchbase.com/organization/galia-gestion,55,5,"Bordeaux, Aquitaine, France",contact@galia-gestion.com,http://www.galia-gestion.com
Enterprise Ventures,https://www.crunchbase.com/organization/enterprise-ventures-limited,55,13,"Preston, Lancashire, United Kingdom",,https://www.evgroup.uk.com
Reaktor Ventures,https://www.crunchbase.com/organization/reaktor-polte,55,6,"Helsinki, Southern Finland, Finland",contact@reaktorventures.com,http://reaktorventures.com
EXIST,https://www.crunchbase.com/organization/exist-business,55,3,"Berlin, Berlin, Germany",info@existstartupgermany.com,http://www.exist.de
APEX Ventures,https://www.crunchbase.com/organization/apex-ventures-2,55,1,"Vienna, Wien, Austria",office@apex.ventures,http://www.apex.ventures
German Startups Group,https://www.crunchbase.com/organization/german-startups-group,55,19,"Berlin, Berlin, Germany",,https://www.german-startups.com/for-shareholders/about-us/
British Business Bank,https://www.crunchbase.com/organization/british-business-bank,54,2,"Sheffield, Sheffield, United Kingdom",info@british-business-bank.co.uk,http://british-business-bank.co.uk
Vsquared Ventures,https://www.crunchbase.com/organization/vsquared-ventures,54,,"Munich, Bayern, Germany",future@vsquared.vc,https://www.vsquared.vc/
Specialist VC,https://www.crunchbase.com/organization/united-angels-vc,54,3,"Tallinn, Harjumaa, Estonia",gerri.kodres@unitedangels.vc,https://www.specialist.vc/
Finnfund,https://www.crunchbase.com/organization/finnfund,54,6,"Helsinki, Southern Finland, Finland",,http://www.finnfund.fi
SHIFT Invest,https://www.crunchbase.com/organization/shift-invest,54,2,"Amstelveen, Noord-Holland, The Netherlands",info@shiftinvest.com,http://www.shiftinvest.com/
Viking Venture,https://www.crunchbase.com/organization/viking-venture-management,54,23,"Trondheim, Sor-Trondelag, Norway",saas@vikingventure.com,http://www.vikingventure.com
SpeedUp Venture Capital Group,https://www.crunchbase.com/organization/speedup-venture-capital-group,54,6,"Poznan, Wielkopolskie, Poland",info@speedupgroup.com,http://speedupgroup.com
Green Angel Ventures,https://www.crunchbase.com/organization/green-angel-syndicate,54,2,"London, England, United Kingdom",nick@greenangelsyndicate.com,http://www.greenangelsyndicate.com/
West Hill Capital,https://www.crunchbase.com/organization/west-hill-capital,54,6,"London, England, United Kingdom",enquiries@westhillcapital.co.uk,http://www.westhillcapital.co.uk/
"Founderheads,",https://www.crunchbase.com/organization/founderheads,54,,"Vilnius, Vilniaus Apskritis, Lithuania",hello@founderheads.com,https://founderheads.com
"Johann ""Hansi"" Hansmann",https://www.crunchbase.com/person/hansi-hansmann,54,10,"Vienna, Wien, Austria",,http://www.hansmengroup.com
AQUITI Gestion,https://www.crunchbase.com/organization/aquiti-gestion-aci,54,5,"Bordeaux, Aquitaine, France",contact@aquiti.fr,http://www.aquiti.fr
Agentschap Innoveren & Ondernemen,https://www.crunchbase.com/organization/agentschap-innoveren-ondernemen,54,6,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@vlaio.be,http://www.vlaio.be
The Spinoff,https://www.crunchbase.com/organization/the-spinoff-f2bd,54,,"Bucharest, Bucuresti, Romania",launch@thespinoff.eu,https://www.thespinoff.eu/
BackBone Ventures,https://www.crunchbase.com/organization/backbone-ventures,54,3,"Zürich, Zurich, Switzerland",hello@bbventures.ch,https://www.backbone.vc
Grosvenor Food & AgTech,https://www.crunchbase.com/organization/wheatsheaf-investments,54,3,"London, England, United Kingdom",GFA-Investment.Team@grosvenor.com,http://www.grosvenor.com/food-agtech
Investitionsbank Berlin,https://www.crunchbase.com/organization/investitionsbank-berlin,54,12,"Berlin, Berlin, Germany",info@ibb.de,http://www.ibb.de
Permira,https://www.crunchbase.com/organization/permira,53,16,"London, England, United Kingdom",media@permira.com,http://www.permira.com
Bertelsmann India Investments,https://www.crunchbase.com/organization/bii-fund,53,4,"Abcoude, Utrecht, The Netherlands",,http://www.biifund.com
N1,https://www.crunchbase.com/organization/nation-1,53,,"Prague, Hlavni mesto Praha, Czech Republic",marek@n1.rocks,https://n1.rocks/
Bynd Venture Capital,https://www.crunchbase.com/organization/busy-angels,53,5,"Lisbon, Lisboa, Portugal",bynd@bynd.vc,https://bynd.vc/
Rubio Impact Ventures,https://www.crunchbase.com/organization/rubio-impact-ventures-nl,53,3,"Amsterdam, Noord-Holland, The Netherlands",info@rubio.vc,https://www.rubio.vc
Explorer Investments,https://www.crunchbase.com/organization/explorer-investments-s-c-r-s-a,53,3,"Lisboa, Lisboa, Portugal",explorer@explorerinvestments.com,http://www.explorerinvestments.com/
Graduate Entrepreneur Fund,https://www.crunchbase.com/organization/graduate-entrepreneur-fund,53,,"Rotterdam, Zuid-Holland, The Netherlands",hello@graduate.nl,https://www.graduate.nl/
Turenne Capital,https://www.crunchbase.com/organization/turenne-capital,53,6,"Paris, Ile-de-France, France",,http://www.turennecapital.com
AddVenture,https://www.crunchbase.com/organization/addventure,53,5,"Nicosia, Nicosia, Cyprus",apply@addventure.vc,http://addventure.vc
eQventure,https://www.crunchbase.com/organization/eqventure,53,5,"Graz, Steiermark, Austria",office@eqventure.com,http://www.eqventure.com/
Lighthouse Ventures,https://www.crunchbase.com/organization/lighthouse-ventures-6458,53,3,"Prague, Hlavni mesto Praha, Czech Republic",contact@lhv.vc,https://lhv.vc
Black Pearls VC,https://www.crunchbase.com/organization/black-pearls,53,2,"Gdansk, Pomorskie, Poland",office@blackpearls.vc,http://blackpearls.vc/
Clarendon Fund Managers,https://www.crunchbase.com/organization/clarendon-fund-managers,53,5,"Belfast, Belfast, United Kingdom",info@clarendon-fm.co.uk,http://www.clarendon-fm.co.uk
StartersHub,https://www.crunchbase.com/organization/startershub,53,6,"Istanbul, Istanbul, Turkey",hello@startershub.com,https://startershub.com
HBM Partners,https://www.crunchbase.com/organization/hbm-partners,53,22,"Zug, Zug, Switzerland",lesieur@hbmcayman.com,http://www.hbmpartners.com
Bonnier Ventures,https://www.crunchbase.com/organization/bonnier-ventures,53,9,"Stockholm, Stockholms Lan, Sweden",bv@bonnier.se,http://www.bonnierventures.com
Reference Capital SA,https://www.crunchbase.com/organization/Reference-Capital-SA,53,24,"Genève, Geneve, Switzerland",,https://www.referencecap.com/
Monkfish Equity,https://www.crunchbase.com/organization/monkfish-equity,53,14,"Leipzig, Sachsen, Germany",info@monkfish-equity.com,http://www.monkfish-equity.com/
Nova Growth Capital,https://www.crunchbase.com/organization/nova-growth-capital,53,,"Liverpool, Liverpool, United Kingdom",fund@novagrowthcapital.co.uk,https://novagrowthcapital.co.uk
Leonis Investissement,https://www.crunchbase.com/organization/leonis-investissement,53,3,"Paris, Ile-de-France, France",,https://www.leonis.vc
ProSiebenSat.1 Accelerator,https://www.crunchbase.com/organization/prosiebensat1-accelerator,53,8,"Munich, Bayern, Germany",accelerator@prosiebensat1.com,http://www.p7s1accelerator.com/
Syngenta Ventures,https://www.crunchbase.com/organization/syngenta-ventures,53,7,"Basel, Basel-Stadt, Switzerland",info@mriseed.com,https://www.syngentaventures.com
NJF Capital,https://www.crunchbase.com/organization/njf-capital,53,8,"London, England, United Kingdom",,https://njfcapital.com
Didier Valet,https://www.crunchbase.com/person/didier-valet,53,3,"Paris, Ile-de-France, France",,http://xantheconseil.com/
Brighteye Ventures,https://www.crunchbase.com/organization/brighteye-ventures,52,5,"Paris, Ile-de-France, France",,https://www.brighteyevc.com
Medicxi,https://www.crunchbase.com/organization/medicxi-ventures,52,14,"London, England, United Kingdom",info@medicxi.com,https://www.medicxi.com
DFF Ventures,https://www.crunchbase.com/organization/dutchfoundersfund,52,2,"Amsterdam, Noord-Holland, The Netherlands",,https://www.dff.ventures/
Frst,https://www.crunchbase.com/organization/frst-d3d4,52,3,"Paris, Ile-de-France, France",,https://www.frst.vc/
Anterra Capital,https://www.crunchbase.com/organization/anterra-capital,52,4,"Amsterdam, Noord-Holland, The Netherlands",office@anterracapital.com,http://www.anterracapital.com/
Altor,https://www.crunchbase.com/organization/altor-equity-partners,52,22,"Stockholm, Stockholms Lan, Sweden",info@altor.com,http://www.altor.com
