Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
Club Italia Investimenti 2,https://www.crunchbase.com/organization/club-italia-investimenti,"Milan, Lombardia, Italy","Finance, Financial Services, Venture Capital",63,team@cii2.com
AGORANOV,https://www.crunchbase.com/organization/agoranov,"Paris, Ile-de-France, France","Business Development, Consulting, Finance, Incubators",464,courrier@agoranov.com
JIC Ventures,https://www.crunchbase.com/organization/jic-ventures,"Brno, Jihomoravsky kraj, Czech Republic","Angel Investment, Finance, Financial Services, Venture Capital",14,kocourek@jic.cz
Oxford University Innovation,https://www.crunchbase.com/organization/oxford-university-innovation,"Oxford, Oxfordshire, United Kingdom","Angel Investment, Consulting",57,enquiries@innovation.ox.ac.uk
TMT Investments,https://www.crunchbase.com/organization/tmt-investments,"St. Helier, NA - Jersey, Jersey","Asset Management, Financial Services, Venture Capital",73,info@tmtinvestments.com
InMotion Ventures,https://www.crunchbase.com/organization/inmotion-ventures,"London, England, United Kingdom",Venture Capital,34,inmotion@jaguarlandrover.com
Black Seed,https://www.crunchbase.com/organization/black-seed,"London, England, United Kingdom","Business Development, Consulting, Financial Services, Management Consulting, Venture Capital",1,info@blackseed.ventures
Expansion Ventures,https://www.crunchbase.com/organization/expansion-f37b,"Paris, Ile-de-France, France","Aerospace, Financial Services, Venture Capital",15,ted@expansion-vc.eu
ZBS CAPITAL,https://www.crunchbase.com/organization/zbs-capital,"Kyiv, Kyyiv, Ukraine","Cryptocurrency, Financial Exchanges, Financial Services, Internet of Things, Marketing",130,invest@zbs.capital
Zinc,https://www.crunchbase.com/organization/zinc-vc,"London, England, United Kingdom","Finance, Financial Services, Incubators",26,info@zinc.vc
IP Group,https://www.crunchbase.com/organization/ip-group-plc,"London, England, United Kingdom","Financial Services, Intellectual Property",167,media@ipgroupplc.com
Crowberry Capital,https://www.crunchbase.com/organization/crowberry-capital,"Reykjavík, Gullbringusysla, Iceland","Finance, Financial Services, Venture Capital",29,hello@crowberrycapital.com
Heal Capital,https://www.crunchbase.com/organization/heal-capital,"Berlin, Berlin, Germany","Financial Services, Health Care, Information Technology",23,info@healcapital.com
arc investors,https://www.crunchbase.com/organization/arc-investors,"Zürich, Zurich, Switzerland","Finance, Financial Services",7,welcome@arcinvestors.com
SBX Capital,https://www.crunchbase.com/organization/sbx-capital,"Farnham, Surrey, United Kingdom","Finance, Financial Services, Venture Capital",10,saoud@sbxcapital.co
FINTECH Circle,https://www.crunchbase.com/organization/fintech-circle,"London, England, United Kingdom","Financial Services, FinTech, Funding Platform",2,Info@fintechcircle.com
Zephyrus Partners,https://www.crunchbase.com/organization/zephyrus-partners,"London, England, United Kingdom","Aerospace, Financial Services, Transportation",1,contact@zphrs.com
Iconic Holding,https://www.crunchbase.com/organization/iconiq-lab,"Frankfurt, Hessen, Germany","Blockchain, Cryptocurrency, Finance, Financial Services, Internet, Venture Capital",1,contact@iconicholding.com
NCA,https://www.crunchbase.com/organization/nca,"Hamburg, Hamburg, Germany","Finance, Financial Services",47,info@nca.vc
E-Merge,https://www.crunchbase.com/organization/emerge,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","E-Commerce, Telecommunications, Venture Capital",61,info@emerge.be
SMOK Ventures,https://www.crunchbase.com/organization/smok-ventures,"Warsaw, Mazowieckie, Poland",Financial Services,38,smok@smok.vc
Legion Ventures,https://www.crunchbase.com/organization/legion-ventures-69f8,"Bucharest, Bucuresti, Romania",Cryptocurrency,7,hello@legion.ventures
Dutch Operator Fund I,https://www.crunchbase.com/organization/dutch-operator-fund-i,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",2,hello@dutchoperatorfun.nl
Everstake,https://www.crunchbase.com/organization/everstake,"Kyiv, Kyyiv, Ukraine","Blockchain, Cryptocurrency, Ethereum, Financial Services, Network Security, Security",18,inbox@everstake.one
Armilar Venture Partners,https://www.crunchbase.com/organization/espirito-santo-ventures,"Lisboa, Lisboa, Portugal","Business Development, Financial Services, Venture Capital",68,info@armilar.com
Two Hop Ventures,https://www.crunchbase.com/organization/two-hop-ventures,"Amsterdam, Noord-Holland, The Netherlands","Bitcoin, Blockchain, FinTech, Internet, Private Cloud, SaaS",8,info@twohop.ventures
South Central Ventures,https://www.crunchbase.com/organization/sc-ventures,"Belgrade, Vojvodina, Serbia","Finance, Financial Services, Venture Capital",36,info@sc-ventures.com
Erste Bank,https://www.crunchbase.com/organization/erste-bank-ad-novi-sad,"Novi Sad, Vojvodina, Serbia","Banking, Financial Services, Insurance",2,info@erstebank.rs
Seeds of Bravery,https://www.crunchbase.com/organization/seeds-of-bravery,"Berlin, Berlin, Germany","Finance, Financial Services, Impact Investing",98,seedsofbravery@usf.com.ua
UI Investissement,https://www.crunchbase.com/organization/ui-gestion,"Paris, Ile-de-France, France","Financial Services, Venture Capital",89,Paulgregory0000@gmail.com
Sun Finance Group,https://www.crunchbase.com/organization/sun-finance-group,"Riga, Riga, Latvia","Financial Services, FinTech",1,info@sunfinance.group
ADV,https://www.crunchbase.com/organization/accelerated-digital-ventures,"London, England, United Kingdom","Financial Services, FinTech, Hardware, Internet",32,hello@accelerated.ventures
GreenTec Capital Partners,https://www.crunchbase.com/organization/greentec-capital-partners,"Frankfurt, Hessen, Germany","Business Development, Financial Services, Social Network, Venture Capital",20,info@greentec-capital.com
Titanium Investments,https://www.crunchbase.com/organization/titanium-investments-llc,"Moscow, Moscow City, Russian Federation","Advertising, Apps, Augmented Reality, FinTech, Internet of Things, SaaS, Virtual Reality",13,hi@titanium.vc
Heaventures,https://www.crunchbase.com/organization/heaventures,"Istanbul, Istanbul, Turkey",Venture Capital,10,contact@heaventures.com
50 Partners,https://www.crunchbase.com/organization/50-partners,"Paris, Ile-de-France, France","Artificial Intelligence (AI), B2B, Cyber Security, FinTech, Health Care, Impact Investing, Software, Sustainability, Web3",74,contact@50partners.fr
SmartAngels.fr,https://www.crunchbase.com/organization/smartangels-fr,"Paris, Ile-de-France, France","Angel Investment, Finance, FinTech, Lending, Venture Capital",5,contact@smartangels.fr
Kärtel Labs,https://www.crunchbase.com/organization/kärtel-labs,"London, England, United Kingdom","Business Development, Incubators, Software, Web Development",1,hello@kartellabs.com
KIZOO Technology Capital,https://www.crunchbase.com/organization/kizoo,"Karlsruhe, Baden-Wurttemberg, Germany","Finance, Financial Services, Marketing, Venture Capital",30,ventures@kizoo.com
coparion,https://www.crunchbase.com/organization/coparion,"Cologne, Nordrhein-Westfalen, Germany","Finance, Financial Services, Venture Capital",54,info@coparion.vc
VEF,https://www.crunchbase.com/organization/vef,"Stockholm, Stockholms Lan, Sweden","Financial Services, FinTech, Venture Capital",21,henrik@vef.vc
Coinsilium Group,https://www.crunchbase.com/organization/coinsilium-group,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",16,info@coinsilium.com
Banca Sella,https://www.crunchbase.com/organization/banca-sella,"Biella, Piemonte, Italy","Banking, Finance, Financial Services, Venture Capital",5,info@sella.it
Portfolion Capital Partners,https://www.crunchbase.com/organization/portfolion,"Budapest, Budapest, Hungary",Venture Capital,51,info@portfolion.hu
Invest International,https://www.crunchbase.com/organization/invest-international,"The Hague, Zuid-Holland, The Netherlands","Consulting, Financial Services, Impact Investing",11,info@investinternational.nl
Criteria Venture Tech,https://www.crunchbase.com/organization/caixa-capital,"Barcelona, Catalonia, Spain",Venture Capital,138,tech@criteria.com
Expeditions Fund,https://www.crunchbase.com/organization/expeditions-fund,"Warsaw, Mazowieckie, Poland",Venture Capital,23,info@expeditionsfund.com
Lightshift Capital,https://www.crunchbase.com/organization/lightshift-capital,"Lisbon, Lisboa, Portugal","Bitcoin, Blockchain, Venture Capital, Web3",13,build@lightshift.xyz
FinLab,https://www.crunchbase.com/organization/finlab,"Frankfurt, Hessen, Germany","Cryptocurrency, Finance, Financial Services, FinTech, Incubators, Venture Capital",28,info@finlab.de
InnMind,https://www.crunchbase.com/organization/innmind,"Barcelona, Catalonia, Spain","Angel Investment, Artificial Intelligence (AI), Financial Services, Information Technology, Innovation Management, Internet, Venture Capital, Web3",4,support@innmind.com
COREangels,https://www.crunchbase.com/organization/coreangels,"Ílhavo, Aveiro, Portugal","Angel Investment, Venture Capital",14,info@coreangels.com
Seven Capital,https://www.crunchbase.com/organization/seven-capital,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Artificial Intelligence (AI), Cyber Security, Drones, Manufacturing, Venture Capital",1,contact@sevencapital.vc
PranaVentures,https://www.crunchbase.com/organization/prana-ventures,"Milano, Lombardia, Italy","Finance, Financial Services, Venture Capital",13,info@pranaventures.it
STATION F,https://www.crunchbase.com/organization/station-f,"Paris, Ile-de-France, France","Business Development, Incubators, Internet",13,contact@stationf.co
Leapfunder,https://www.crunchbase.com/organization/leapfunder,"Amsterdam, Noord-Holland, The Netherlands","Angel Investment, Financial Services, FinTech",11,info@leapfunder.com
Bootstrap Europe,https://www.crunchbase.com/organization/bootstrap-europe,"Zürich, Zurich, Switzerland","Financial Services, Lending, Venture Capital",14,info@bootstrap-europe.com
Alsace Business Angels,https://www.crunchbase.com/organization/alsace-business-angels,"Illkirch-graffenstaden, Alsace, France",Finance,22,info@alsacebusinessangels.com
The Nordic Web Ventures,https://www.crunchbase.com/organization/the-nordic-web-ventures,"Copenhagen, Hovedstaden, Denmark","Communities, Financial Services, Sporting Goods, Venture Capital",19,neil@thenordicweb.com
THE Q AGENCY,https://www.crunchbase.com/organization/the-q-agency,"Bucharest, Bucuresti, Romania","Business Development, Consulting, Management Consulting, Neuroscience, Prediction Markets",7,contact@theqagency.com
Fund Twenty8,https://www.crunchbase.com/organization/fund-twenty8,"Cambridge, Cambridgeshire, United Kingdom","Finance, Financial Services, Venture Capital",34,contactus@syndicateroom.com
Italian Angels for Growth,https://www.crunchbase.com/organization/italian-angels-for-growth,"Milan, Lombardia, Italy","Angel Investment, Finance, Venture Capital",70,press@italianangels.net
VENPACE,https://www.crunchbase.com/organization/venpace,"Köln, Nordrhein-Westfalen, Germany","Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Venture Capital",8,hello@venpace.com
Cosmos Network,https://www.crunchbase.com/organization/cosmos-network,"Zug, Zug, Switzerland","Blockchain, Cloud Computing, Cryptocurrency, FinTech",5,hello@tendermint.com
ŞirketOrtağım,https://www.crunchbase.com/organization/Şirket-ortağım-angel-investors-network,"Istanbul, Istanbul, Turkey",Angel Investment,20,info@sirketortagim.com
Wren Capital,https://www.crunchbase.com/organization/wren-capital,"London, England, United Kingdom","Angel Investment, Financial Services, Venture Capital",25,contact@wrencapital.co.uk
Invest Northern Ireland,https://www.crunchbase.com/organization/invest-northern-ireland,"Belfast, Belfast, United Kingdom","Finance, FinTech, Venture Capital",29,eo@investni.com
Innovation Norway,https://www.crunchbase.com/organization/innovation-norway,"Oslo, Oslo, Norway","Consulting, Marketing, Trading Platform",60,post@innovasjonnorge.no
Chalmers Ventures AB,https://www.crunchbase.com/organization/chalmers-ventures,"Göteborg, Vastra Gotaland, Sweden","Financial Services, FinTech, Venture Capital",110,info@chalmersventures.com
Sberbank,https://www.crunchbase.com/organization/sberbank,"Moscow, Moscow City, Russian Federation","Banking, Finance, Financial Services, Mobile Apps, Payments",25,media@sberbank.ru
Piton Capital,https://www.crunchbase.com/organization/piton-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",48,info@pitoncap.com
Pepper Advantage,https://www.crunchbase.com/organization/pepper-uk,"Uxbridge, Hillingdon, United Kingdom","Asset Management, Commercial, Financial Services, Residential",2,contactservicing@peppergroup.co.uk
Anaxago,https://www.crunchbase.com/organization/anaxago,"Paris, Ile-de-France, France","Crowdfunding, Finance, Financial Services, Funding Platform, Internet, Lending",37,investir@anaxago.com
OostNL,https://www.crunchbase.com/organization/oostnl,"Apeldoorn, Gelderland, The Netherlands","Business Development, Finance, Government",60,info@oostnl.nl
Zephyr Angels,https://www.crunchbase.com/organization/zephyr-angels,"Skopje, Karpos, Macedonia",Angel Investment,2,info@zephyr.mk
The Techshop,https://www.crunchbase.com/organization/the-techshop,"Milan, Lombardia, Italy","Business Development, Financial Services, FinTech, Venture Capital",12,info@techshop.capital
TRUMPF Venture,https://www.crunchbase.com/organization/trumpf-venture,"Ditzingen, Baden-Wurttemberg, Germany","Electronics, Information Technology, Laser, Machinery Manufacturing, Manufacturing, Optical Communication, Quantum Computing, Software, Venture Capital",18,venture@trumpf.com
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",592,info@startupbootcamp.org
Techstart Ventures,https://www.crunchbase.com/organization/techstart-ventures,"Belfast, Belfast, United Kingdom","Finance, Financial Services",105,info@techstart.vc
Seed Haus,https://www.crunchbase.com/organization/seed-haus-2,"Edinburgh, Edinburgh, City of, United Kingdom","Finance, Financial Services, Venture Capital",14,contact@thisisseedhaus.com
Aglaé Ventures,https://www.crunchbase.com/organization/aglae-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",78,contact@aglaeventures.com
NovaCapital,https://www.crunchbase.com/organization/novacapital,"Milano, Lombardia, Italy","Business Development, Finance, Financial Services",14,info@novacapital.eu
SmartCap,https://www.crunchbase.com/organization/as-smartcap,"Tallinn, Harjumaa, Estonia","Finance, Financial Services, Venture Capital",18,info@smartcap.ee
Nordic Makers,https://www.crunchbase.com/organization/nordic-makers-vc,"Stockholm, Stockholms Lan, Sweden",Venture Capital,32,hello@nordicmakers.vc
Frenetik Priority,https://www.crunchbase.com/organization/frenetik-priority,"Porto, Lisboa, Portugal","Angel Investment, PropTech, Retail Technology",1,nuno.arroteia@gmail.com
Better Angle,https://www.crunchbase.com/organization/better-angle,"Paris, Ile-de-France, France",Venture Capital,52,contact@better-angle.com
Deep Science Ventures,https://www.crunchbase.com/organization/deep-science-ventures,"London, England, United Kingdom","Biopharma, Biotechnology, Commercial, Industrial Engineering, Life Science, Mechanical Engineering, Venture Capital",15,hello@deepscienceventures.com
CONDA Crowdinvesting Österreich,https://www.crunchbase.com/organization/conda,"Vienna, Wien, Austria","Blockchain, Crowdfunding, Financial Services, FinTech",4,team@conda.at
Greyhound Capital,https://www.crunchbase.com/organization/greyhound-capital,"London, England, United Kingdom","Finance, Financial Exchanges, Financial Services, FinTech, Lending, Venture Capital",37,info@greyhoundcapital.com
Galata Business Angels,https://www.crunchbase.com/organization/galata-business-angels,"Istanbul, Istanbul, Turkey","Angel Investment, Finance, Venture Capital",44,info@galatabusinessangels.com
Flow Traders,https://www.crunchbase.com/organization/flow-traders,"Amsterdam, Noord-Holland, The Netherlands","Financial Services, Software, Stock Exchanges, Trading Platform",45,fscholten@flowtraders.com
Moonrock Capital,https://www.crunchbase.com/organization/moonrock-capital,"Munich, Bayern, Germany","Cryptocurrency, Incubators, Venture Capital, Web3",49,contact@moonrockcapital.io
Concentric,https://www.crunchbase.com/organization/concentric,"London, England, United Kingdom","Finance, Financial Services, FinTech, Internet, Software, Venture Capital",48,info@concentric.vc
Blackfinch Ventures,https://www.crunchbase.com/organization/blackfinch-ventures,"Gloucester, Gloucestershire, United Kingdom","Information Technology, Venture Capital",38,ventures@blackfinch.com
Wincent,https://www.crunchbase.com/organization/wincent,"Gibraltar, Gibraltar, Gibraltar","Blockchain, Cryptocurrency, Financial Services",1,ir@wincent.co
Prototron,https://www.crunchbase.com/organization/prototron1,"Tallinn, Harjumaa, Estonia","Finance, Financial Services, Non Profit",48,jana@prototron.ee
Next Mobility Labs,https://www.crunchbase.com/organization/next-mobility-labs,"Mainz, Rheinland-Pfalz, Germany","Automotive, CleanTech, Consulting, Finance, Information Technology, Internet, Software, Venture Capital",5,hello@nextmobilitylabs.com
BlueCrow Capital,https://www.crunchbase.com/organization/bluecrow-capital,"Lisboa, Lisboa, Portugal","Financial Services, Venture Capital",11,geral@bluecrowcapital.com
Avonmore Developments,https://www.crunchbase.com/organization/avonmore-developments,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",36,contact@avonmoredevelopments.com
SMRK VC Fund,https://www.crunchbase.com/organization/smrk-vc-fund,"Kyiv, Kyyiv, Ukraine","Consulting, Financial Services, Venture Capital",22,applications@smrk.vc
Pentland Ventures,https://www.crunchbase.com/organization/pentland-ventures,"London, England, United Kingdom","Financial Services, FinTech",18,ventures@pentland.com
Infinitas Capital,https://www.crunchbase.com/organization/infinitas-capital-ag,"Basel, Basel-Stadt, Switzerland","Real Estate, Venture Capital",20,info@infinitas-capital.com
Banque Populaire,https://www.crunchbase.com/organization/banque-populaire-val-de-france,"Montigny-le-bretonneux, Ile-de-France, France","Banking, Customer Service, Finance, Financial Services",7,contact@bpvf.fr
Redcliffe Capital,https://www.crunchbase.com/organization/redcliffe-capital-ltd,"London, England, United Kingdom","Banking, Consulting, Finance, Financial Services",28,getintouch@redcliffecapital.com
seed + speed Ventures,https://www.crunchbase.com/organization/seed-speed-ventures,"Berlin, Berlin, Germany","Enterprise Software, FinTech, Software, Virtual Reality",57,info@seedandspeed.de
Public,https://www.crunchbase.com/organization/public,"London, England, United Kingdom","Financial Services, GovTech, Venture Capital",36,hello@public.io
Digital Magics,https://www.crunchbase.com/organization/digital-magics,"Milan, Lombardia, Italy","Consulting, Finance, Financial Services, Incubators, Information Technology, Internet",78,info@digitalmagics.com
Redbus Ventures,https://www.crunchbase.com/organization/redbus-group,"London, England, United Kingdom","Finance, Financial Services",89,info@redbus.uk
DEPO Ventures,https://www.crunchbase.com/organization/depo-ventures,"Prague, Hlavni mesto Praha, Czech Republic","Angel Investment, Venture Capital",36,team@depoventures.cz
Serpentine Ventures,https://www.crunchbase.com/organization/serpentine-ventures,"Zürich, Zurich, Switzerland","Business Development, Impact Investing, Venture Capital",48,contact@serpentine.vc
Barclays Investment Bank,https://www.crunchbase.com/organization/barclays-capital,"London, England, United Kingdom","Banking, Financial Services",38,customer.relations@barclays.co.uk
MH Ventures,https://www.crunchbase.com/organization/mh-ventures,"London, England, United Kingdom","Blockchain, Cryptocurrency, Web3",135,info@mhventures.io
Magnetic Capital,https://www.crunchbase.com/organization/magnetic-0499,"Berlin, Berlin, Germany",Venture Capital,10,info@mgntc.com
Katapult,https://www.crunchbase.com/organization/katapult-accelerator,"Oslo, Oslo, Norway","Carbon Capture, Clean Energy, Energy Efficiency, Financial Services, FinTech, GreenTech, Shipping, Smart Building, Smart Cities, Transportation",94,hello@katapult.vc
UKSE,https://www.crunchbase.com/organization/ukse,"Sheffield, Sheffield, United Kingdom","Business Development, Consulting, Finance",6,ho@ukse.co.uk
EIT Urban Mobility,https://www.crunchbase.com/organization/eit-urban-mobility,"Barcelona, Catalonia, Spain","Autonomous Vehicles, Electric Vehicle, Fleet Management, GreenTech, InsurTech, Logistics, Predictive Analytics, Public Transportation, Ride Sharing, Security",54,investments@eiturbanmobility.eu
CVX Ventures,https://www.crunchbase.com/organization/cvx-ventures,"Copenhagen, Hovedstaden, Denmark","Advice, Finance, Venture Capital",101,info@cvx.vc
Creator Fund,https://www.crunchbase.com/organization/creator-fund,"London, England, United Kingdom","Financial Services, Venture Capital",49,hello@thecreatorfund.com
FEXCO,https://www.crunchbase.com/organization/fexco,"Killorglin, Kerry, Ireland","Business Development, Financial Services, FinTech",2,info@fexco.com
Blue Wire Capital,https://www.crunchbase.com/organization/blue-wire-capital,"London, England, United Kingdom","Financial Services, Venture Capital",31,info@bluewirecapital.com
Holvi,https://www.crunchbase.com/organization/holvi,"Helsinki, Southern Finland, Finland","Banking, Finance, Financial Services, FinTech",2,support@holvi.com
Cemex Ventures,https://www.crunchbase.com/organization/cemex-ventures,"Madrid, Madrid, Spain","Finance, Financial Services, Venture Capital",37,aparicio.cristina@cemexventures.com
better ventures,https://www.crunchbase.com/organization/better-ventures-9d06,"München, Bayern, Germany","Impact Investing, Sustainability, Venture Capital",29,info@betterventures.io
Bitspiration Booster,https://www.crunchbase.com/organization/bitspiration-news,"Kraków, Malopolskie, Poland","News, Venture Capital",6,office@bitspirationbooster.com
Myelin VC,https://www.crunchbase.com/organization/myelin-vc,"Madrid, Madrid, Spain",Financial Services,24,info@myelin.vc
SDAC Ventures,https://www.crunchbase.com/organization/bldrs,"Munich, Bayern, Germany","Industrial, Information Technology, Software, Venture Capital",4,daniel@sdac.io
NDRC,https://www.crunchbase.com/organization/ndrc,"Dublin, Dublin, Ireland","Finance, Financial Services, Venture Capital",196,info@ndrc.ie
Fides Capital,https://www.crunchbase.com/organization/fides-capital,"Madrid, Madrid, Spain","B2B, Consulting, Financial Services, FinTech, Venture Capital",25,info@fidescapital.es
Angels Capital,https://www.crunchbase.com/organization/angels-capital,"Valencia, Comunidad Valenciana, Spain",Finance,61,info@angelscapital.es
Fashion For Good,https://www.crunchbase.com/organization/fashion-for-good,"Amsterdam, Noord-Holland, The Netherlands","Angel Investment, Fashion, Impact Investing, Incubators, Training, Venture Capital",28,info@fashionforgood.com
Vestel Ventures,https://www.crunchbase.com/organization/vestel-ventures,"Sisli, Istanbul, Turkey",Finance,34,info@vestelventures.com
Gabriel Investments,https://www.crunchbase.com/organization/gabriel-investments-2,"Glasgow, Glasgow City, United Kingdom","Financial Services, FinTech",13,g.macaulay@gabriel-is.com
SGH CAPITAL,https://www.crunchbase.com/organization/sgh-capital,"Luxembourg, Luxembourg, Luxembourg","Financial Services, Information Technology, Venture Capital",114,venture@sghcapital.com
BNP Paribas Fortis,https://www.crunchbase.com/organization/bnp-paribas-fortis,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Association, Banking, Financial Services",24,info@bnpparibasfortis.com
Semantic Ventures,https://www.crunchbase.com/organization/semantic-ventures,"London, England, United Kingdom",FinTech,30,info@semantic.vc
Founders,https://www.crunchbase.com/organization/founders-2,"Copenhagen, Hovedstaden, Denmark","Business Development, Financial Services, Venture Capital",21,stefano@founders.as
Actyus,https://www.crunchbase.com/organization/actyus,"Madrid, Madrid, Spain","FinTech, InsurTech, PropTech",32,info@actyus.com
Astel Ventures,https://www.crunchbase.com/organization/astel-ventures,"London, England, United Kingdom","Finance, Financial Services, Funding Platform, Venture Capital",7,info@astelios.com
Akbank,https://www.crunchbase.com/organization/akbank,"Istanbul, Istanbul, Turkey","Banking, Finance, Financial Services, Insurance",5,bizeulasin@akbank.com
CDP Equity,https://www.crunchbase.com/organization/cdp-equity,"Milan, Lombardia, Italy",Venture Capital,45,info@cdpequity.it
Founders Capital,https://www.crunchbase.com/organization/founders-capital,"London, England, United Kingdom","Consumer, Venture Capital",2,hello@founders-capital.com
Arz Portfolio,https://www.crunchbase.com/organization/arz-portfolio,"Istanbul, Istanbul, Turkey",FinTech,26,info@arzportfoy.com
Flash Ventures,https://www.crunchbase.com/organization/flash-ventures-8f44,"Berlin, Berlin, Germany","Business Development, Financial Services, Professional Services",27,info@fl4sh.vc
G-Force,https://www.crunchbase.com/organization/g-force-4ed8,"Bratislava, Bratislava, Slovakia (Slovak Republic)","Clean Energy, CleanTech, FinTech, GreenTech, Renewable Energy, Sustainability",10,marian@usegforce.com
Portugal Ventures,https://www.crunchbase.com/organization/portugal-ventures,"Porto, Lisboa, Portugal","Financial Services, Venture Capital",259,contact@portugalventures.pt
Wille Finance,https://www.crunchbase.com/organization/wille-finance,"Zürich, Zurich, Switzerland","Asset Management, Finance, Real Estate",31,info@willefinance.com
Byld,https://www.crunchbase.com/organization/byld-startups,"Madrid, Madrid, Spain","Angel Investment, Consulting, Internet, Venture Capital",4,hey@byld.xyz
G-20 Group,https://www.crunchbase.com/organization/g-20-group,"Zug, Zug, Switzerland","Advice, Asset Management, Financial Services",12,info@g20strategies.com
Kickstart Innovation,https://www.crunchbase.com/organization/kickstart-innovation,"Zürich, Zurich, Switzerland","Cyber Security, EdTech, FinTech, Health Care, InsurTech, Professional Services, Retail Technology, Sharing Economy, Smart Cities, Virtual Workforce",2,hello@kickstart-innovation.com
Giesecke+Devrient Ventures,https://www.crunchbase.com/organization/Giesecke-Devrient-ventures,"München, Bayern, Germany","Blockchain, Cyber Security, Finance, Financial Services, Identity Management, Information Technology, Internet of Things, Payments",13,gdventures@gi-de.com
ULTRA.VC,https://www.crunchbase.com/organization/ultra-vc,"Limassol, Limassol, Cyprus","Finance, Financial Services, Venture Capital",26,ops@ultra.vc
The Delta,https://www.crunchbase.com/organization/the-delta,"Berlin, Berlin, Germany",Venture Capital,29,info@thedelta.io
Dozen Investments,https://www.crunchbase.com/organization/dozen-investments,"Barcelona, Catalonia, Spain",Venture Capital,28,hello@dozeninvestments.com
Futury Capital,https://www.crunchbase.com/organization/futury-ventures,"Frankfurt, Hessen, Germany","Financial Services, Impact Investing, Venture Capital",21,info@futurycapital.vc
Oxford Seed Fund,https://www.crunchbase.com/organization/oxford-seed-fund,"Oxford, Oxfordshire, United Kingdom",Venture Capital,25,seedfund@sbs.ox.ac.uk
L-Bank,https://www.crunchbase.com/organization/l-bank,"Karlsruhe, Baden-Wurttemberg, Germany",Banking,24,info@l-bank.de
Signals Venture Capital,https://www.crunchbase.com/organization/signals-vc,"Berlin, Berlin, Germany",Venture Capital,24,info@signals.vc
Mountain Partners,https://www.crunchbase.com/organization/mountain-partners,"Zürich, Zurich, Switzerland","Asset Management, Business Development, Venture Capital",108,contact@mountain.partners
MSM,https://www.crunchbase.com/organization/msmfund,"Lisbon, Lisboa, Portugal","Financial Services, Impact Investing, Sustainability, Venture Capital",28,cristina@msm.vc
Beyond Capital,https://www.crunchbase.com/organization/beyond-capital-ba3c,"London, England, United Kingdom","Finance, Software",45,will@joinbeyond.co
Oxford Technology Management,https://www.crunchbase.com/organization/oxford-technology-management,"Oxford, Oxfordshire, United Kingdom","Financial Services, Venture Capital",97,info@oxfordtechnology.com
Broadstone,https://www.crunchbase.com/organization/broadstone-corporate-benefits,"London, England, United Kingdom","Advice, Employee Benefits, Financial Services",1,corporate@broadstone.co.uk
TRGC,https://www.crunchbase.com/organization/trg-token-research-group,"Amsterdam, Noord-Holland, The Netherlands","Asset Management, Blockchain, Ethereum, Financial Services, Web3",43,hello@trgc.io
Virgin Group,https://www.crunchbase.com/organization/virgin-group,"London, England, United Kingdom","Business Development, Finance, Financial Services, Venture Capital",44,contactus@virgin.com
nChain Group,https://www.crunchbase.com/organization/nchain,"Zug, Zug, Switzerland","Blockchain, Business Development, Business Information Systems, Information Technology, Software, Web3",6,media@nChain.com
Raw Ventures,https://www.crunchbase.com/organization/raw-ventures,"London, England, United Kingdom","Finance, Venture Capital",14,INFO@RAWVENTURES.COM
Slingshot Ventures,https://www.crunchbase.com/organization/slingshot-ventures,"Amsterdam, Noord-Holland, The Netherlands","Business Development, Financial Services, Internet, Mobile, Venture Capital",22,info@slingshot.ventures
Angel Academe,https://www.crunchbase.com/organization/angel-academe,"London, England, United Kingdom","Angel Investment, Finance, Venture Capital",42,michelle@angelacademe.com
Katapult Ocean,https://www.crunchbase.com/organization/katapult-ocean,"Oslo, Oslo, Norway","Impact Investing, Information Technology, Internet, Marine Technology, Seafood, Shipping, Solar, Sustainability, Transportation",39,hello@katapultocean.com
Eden Block,https://www.crunchbase.com/organization/eden-block,"London, England, United Kingdom","Blockchain, Cryptocurrency, Venture Capital",26,hello@edenblock.com
Paris Business Angels,https://www.crunchbase.com/organization/paris-business-angels,"Paris, Ile-de-France, France","Banking, Finance, Financial Services, Venture Capital",65,contact@parisbusinessangels.com
ENA Venture Capital,https://www.crunchbase.com/organization/ena-venture-capital,"Amsterdam, Noord-Holland, The Netherlands",Venture Capital,6,info@ena.vc
Hub Culture,https://www.crunchbase.com/organization/hub-culture,"London, England, United Kingdom","Collaboration, FinTech, Identity Management, Knowledge Management, Professional Networking, Real Estate, Social Media, Virtual Currency",1,info@hubculture.com
